epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6124,1.15834,4.2375,1.30055,0.20926,0.13331,0.13238,0.10152,0.83008,2.93202,1.13606,0.0674591,0.000163522,0.000163522
2,108.494,1.03304,2.9143,1.2511,0.57987,0.34974,0.4133,0.32761,0.76103,1.95011,1.08299,0.0342792,0.000316982,0.000316982
3,162.885,0.89793,2.06847,1.16883,0.63353,0.62942,0.60983,0.49562,0.67277,1.48415,1.00391,0.00108604,0.000457111,0.000457111
4,216.114,0.81235,1.50023,1.10771,0.81197,0.64622,0.74536,0.6232,0.62388,1.17234,0.95373,0.000440006,0.000440006,0.000440006
5,271.317,0.75337,1.20057,1.08104,0.88117,0.72465,0.79469,0.68445,0.57273,0.91044,0.93524,0.000420008,0.000420008,0.000420008
6,325.894,0.68535,0.99932,1.03218,0.8812,0.80765,0.84954,0.73516,0.53378,0.78011,0.91608,0.00040001,0.00040001,0.00040001
7,380.544,0.64638,0.88353,1.00057,0.9452,0.78383,0.8695,0.76425,0.49669,0.67685,0.88757,0.000380012,0.000380012,0.000380012
8,434.965,0.62756,0.84355,0.9902,0.93222,0.80626,0.85423,0.74199,0.52236,0.68688,0.91806,0.000360014,0.000360014,0.000360014
9,487.941,0.60189,0.74965,0.97097,0.95893,0.80535,0.88691,0.79748,0.43889,0.56521,0.85382,0.000340016,0.000340016,0.000340016
10,542.994,0.57874,0.71732,0.95619,0.93382,0.84095,0.89576,0.81244,0.43331,0.53801,0.85091,0.000320018,0.000320018,0.000320018
11,597.595,0.59614,0.67222,0.95772,0.94206,0.81894,0.88989,0.8003,0.44396,0.54924,0.86725,0.00030002,0.00030002,0.00030002
12,652.471,0.57996,0.63198,0.95321,0.98979,0.81432,0.90272,0.81745,0.41606,0.49923,0.84771,0.000280022,0.000280022,0.000280022
13,706.331,0.57887,0.63942,0.96002,0.95358,0.82976,0.89938,0.8216,0.42002,0.50713,0.8498,0.000260024,0.000260024,0.000260024
14,760.172,0.58703,0.6397,0.95717,0.97208,0.81813,0.90983,0.82377,0.42355,0.48348,0.85853,0.000240026,0.000240026,0.000240026
15,814.751,0.56235,0.58925,0.94268,0.98615,0.84515,0.90999,0.8251,0.41793,0.45825,0.85696,0.000220028,0.000220028,0.000220028
16,873.605,0.45954,0.52875,0.87027,0.95351,0.84588,0.90972,0.82694,0.41454,0.47108,0.84684,0.00020003,0.00020003,0.00020003
17,928.292,0.46494,0.53117,0.87155,0.97451,0.83576,0.90765,0.81856,0.43553,0.4737,0.84898,0.000180032,0.000180032,0.000180032
18,982.144,0.43667,0.5101,0.8567,0.9753,0.83328,0.91265,0.83199,0.39823,0.44598,0.83806,0.000160034,0.000160034,0.000160034
19,1035.3,0.43693,0.50351,0.86516,0.98113,0.86572,0.91533,0.83168,0.40587,0.43038,0.84219,0.000140036,0.000140036,0.000140036
20,1089.98,0.42293,0.49136,0.84672,0.97107,0.86072,0.90863,0.82935,0.40139,0.44803,0.83498,0.000120038,0.000120038,0.000120038
21,1144.17,0.44368,0.48948,0.86343,0.95637,0.86359,0.91432,0.83388,0.40855,0.43554,0.84531,0.00010004,0.00010004,0.00010004
22,1198.76,0.44089,0.49253,0.86097,0.97081,0.8624,0.91553,0.8356,0.4069,0.45052,0.83867,8.0042e-05,8.0042e-05,8.0042e-05
23,1252.98,0.42163,0.46323,0.84716,0.96937,0.85524,0.9152,0.83618,0.39553,0.4348,0.83561,6.0044e-05,6.0044e-05,6.0044e-05
24,1306.01,0.41798,0.46462,0.85142,0.98762,0.83638,0.91381,0.83317,0.39665,0.43052,0.83757,4.0046e-05,4.0046e-05,4.0046e-05
25,1360.16,0.41085,0.46088,0.84714,0.97454,0.85339,0.91367,0.83218,0.40179,0.43588,0.83957,2.0048e-05,2.0048e-05,2.0048e-05
